Item code,Banner data,Comments item code
50058,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'cryptocoin', 'tag': 'bitcoin', 'timestamp': '2022-07-26 22:55:59'}",[50106]
161830,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'l0k18', 'tag': 'bitcoin', 'timestamp': '2023-04-07 08:54:39'}",[]
148059,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'TheBTCManual', 'tag': 'bitcoin', 'timestamp': '2023-03-06 05:18:44'}",[]
75907,"{'sats': '443 sats', 'boost': None, 'comments': '0 replies', 'author': 'kr', 'tag': 'bitcoin', 'timestamp': '2022-09-30 22:29:06'}",[]
50216,"{'sats': '120 sats', 'boost': None, 'comments': '2 replies', 'author': 'sb', 'tag': 'bitcoin', 'timestamp': '2022-07-27 10:49:30'}","[50219, 50615]"
52323,"{'sats': None, 'boost': None, 'comments': '0 replies', 'author': 'contacto', 'tag': 'freebie', 'timestamp': '2022-07-31 20:17:42'}",[]
187528,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': '2bithits', 'tag': 'bitcoin', 'timestamp': '2023-06-03 05:50:09'}",[]
35128,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'DarthCoin', 'tag': 'bitcoin', 'timestamp': '2022-06-08 17:30:16'}",[]
160228,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'bromeo339', 'tag': 'freebie', 'timestamp': '2023-04-02 22:14:51'}",[]
183981,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'hn', 'tag': 'tech', 'timestamp': '2023-05-25 22:00:05'}",[]
82698,"{'sats': '0 sats', 'boost': None, 'comments': '2 replies', 'author': 'Rock', 'tag': 'bitcoin', 'timestamp': '2022-10-17 21:47:10'}","[82706, 82707]"
65085,"{'sats': '212 sats', 'boost': None, 'comments': '1 reply', 'author': 'k00b', 'tag': 'bitcoin', 'timestamp': '2022-08-31 15:43:12'}",[65111]
115839,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'TheBTCManual', 'tag': 'nostr', 'timestamp': '2023-01-01 07:21:37'}",[]
10537,"{'sats': '5 sats', 'boost': None, 'comments': '0 replies', 'author': 'cointastical', 'tag': 'bitcoin', 'timestamp': '2022-02-06 20:20:32'}",[]
74536,"{'sats': '10 sats', 'boost': None, 'comments': '0 replies', 'author': 'timechain', 'tag': 'bitcoin', 'timestamp': '2022-09-28 00:21:10'}",[]
143217,"{'sats': '0 sats', 'boost': None, 'comments': '3 replies', 'author': 'arcanox', 'tag': 'bitcoin', 'timestamp': '2023-02-24 17:28:25'}","[143591, 143387, 143805]"
