Title,Item code,Banner data,Main link,Body linksSats received by comments,Comments item code
@Kay7's bio,50889,"{'sats': '20 sats', 'boost': None, 'comments': '4 comments', 'author': 'Kay7', 'tag': 'bitcoin', 'timestamp': '2022-07-28 18:14:27'}",[],0 sats,"[112487, 50935, 50892, 50895]"
@BitcoinAruba's bio,44410,"{'sats': '0 sats', 'boost': None, 'comments': '1 comment', 'author': 'BitcoinAruba', 'tag': 'bitcoin', 'timestamp': '2022-07-12 23:08:26'}","['https://btc.aw/accept-bitcoin-everywhere/', 'http://btcpay.btc.aw']",0 sats,[112521]
1ML.com - unofficial fan redesign,141540,"{'sats': '@designsats  22 Feb', 'boost': '5000 boost', 'comments': '2 comments', 'author': None, 'tag': 'bitcoin', 'timestamp': '2023-02-22 02:11:12'}",[],0 sats,"[141687, 141712]"
SN Saturday Newsletter 3/25/23,156753,"{'sats': '409 sats', 'boost': None, 'comments': '0 comments', 'author': 'k00b', 'tag': 'meta', 'timestamp': '2023-03-25 17:03:24'}","['https://twitter.com/benthecarman', 'https://twitter.com/benthecarman/status/1638006709741289474', 'https://twitter.com/benthecarman/status/1638006709741289474', 'https://stacker.news/items/154820', 'https://ordinals.com/inscriptions', 'https://stacker.news/items/156096', 'https://twitter.com/balajis', 'https://thenetworkstate.com/', 'https://twitter.com/balajis/status/1636827051419389952', 'https://twitter.com/balajis/status/1636827051419389952', 'https://stacker.news/items/153578', 'https://stacker.news/DarthCoin', 'https://bitkit.to/', 'https://github.com/synonymdev/bitkit/issues/647', 'https://stacker.news/items/155848', 'https://stacker.news/items/153890', 'https://stacker.news/items/154974', 'https://stacker.news/items/156258', 'https://stacker.news/items/155590', 'https://stacker.news/items/156079', 'https://stacker.news/items/155531', 'https://stacker.news/top/posts/week', 'https://stacker.news/items/107436', 'https://stacker.news/items/141924', 'https://stacker.news/~jobs']",,[]
"Books To Rend Your Veil Asunder: No. 2 - Virus Mania: How the Medical Industry Continually Invents Epidemics, Making Billion Dollar Profits at Our Expense",33206,"{'sats': '0 sats', 'boost': None, 'comments': '0 comments', 'author': 'weatherall', 'tag': 'bitcoin', 'timestamp': '2022-06-01 10:36:27'}",['https://www.goodreads.com/book/show/2498755.Virus_Mania'],,[]
"[#BT] As the world is crashing, bitcoin keeps hashing.",139557,"{'sats': None, 'boost': None, 'comments': '0 comments', 'author': 'tw', 'tag': 'bitcoin', 'timestamp': '2023-02-19 07:14:56'}",[],,[]
Daily discussion thread,77057,"{'sats': None, 'boost': None, 'comments': '28 comments', 'author': 'saloon', 'tag': 'bitcoin', 'timestamp': '2022-10-04 10:00:02'}","['/k00b', '/k00b', 'https://Twitter.com/StackerNewsFeed', 'https://BitcoinHackers.org/@StackerNewsFeed', 'https://BitcoinHackers.org/@StackerNewsFeed', 'https://BitcoinHackers.org/@StackerNewsFeed', 'https://stacker.news/items/65688', '/sn', '/k00b', 'https://darthcoin.substack.com/p/bitcoin-be-your-own-bank-think-like', 'https://medium.com/@fulgur.ventures/an-overview-of-lightning-network-implementations-d670255a6cfa', 'https://lightning.how/', 'https://docs.lightning.engineering/', 'https://lightning.readthedocs.io/index.html', 'https://www.lightningnode.info/', 'https://www.lightningnode.info/v/es/', 'https://bitcoiner.guide/lightning/', 'https://github.com/chaincodelabs/lightning-curriculum/', 'https://youtu.be/sVeolsQ3cvU', 'https://youtu.be/z9n8WRfMw8M', 'https://youtu.be/pOZaLbUUZUs', 'https://www.youtube.com/user/renepickhardt/videos', 'https://youtu.be/HlPIB6jt6ww', 'https://youtu.be/bW7hvvjum9o', 'https://darthcoin.substack.com/s/english/archive?sort=new', 'https://community.getumbrel.com/t/important-links-to-learn-more-about-bitcoin-lightning-network/']",1009 sats,"[77498, 77406, 77367, 77369, 77371, 77372, 77358, 77207, 77540, 77305, 77336, 77266, 77136, 77109, 77398, 77104, 77103, 77287, 77345, 77101, 77068, 77289, 77060, 77355, 77117, 77083, 77088, 77094]"
Donate,187357,"{'sats': '10 sats', 'boost': None, 'comments': '3 comments', 'author': 'warif2570', 'tag': 'bitcoin', 'timestamp': '2023-06-02 17:18:18'}",[],33 sats,"[187370, 187393, 187396]"
Boosts/Zaps/Tips as a vehicle for mass adoption,143357,"{'sats': '4327 sats', 'boost': None, 'comments': '14 comments', 'author': 'Majjin', 'tag': 'bitcoin', 'timestamp': '2023-02-24 21:21:22'}",[],3751 sats,"[143363, 143474, 143611, 143401, 143431, 143476, 143502, 143574, 143453, 143652, 143438, 143556, 143545, 143437]"
@JohnBennson's bio,148301,"{'sats': '60 sats', 'boost': None, 'comments': '5 comments', 'author': 'JohnBennson', 'tag': 'bitcoin', 'timestamp': '2023-03-06 15:23:23'}",[],20 sats,"[148400, 148324, 148649, 148526, 148333]"
