User,Total stacked,First item,Max Cowboy-hat streak,Total user items
Monotone,127114,142379,5,422
TNStacker,53789,131647,22,987
kale,357270,43938,12,128
DiracDelta,185659,47964,9,680
kr,1130855,5040,251,2440
moscowTimeBot,7439,15965,1,45
mpuels,0,71698,,2
blockstream_official,57308,93884,3,51
nym,164002,107705,5,2320
0,0,k00b,,0
random_,1369316,20470,1,690
saloon,0,7406,,642
k00b,4686056,1,134,10036
DarthCoin,1310839,166,77,10213
Wumbo,110230,51481,1,1062
mf,162408,1752,4,1439
NoStranger,15640,276234,2,34
anipy,23057,124942,6,90
OneOneSeven,68017,44609,37,286
Bitman,178242,155877,12,652
nemo,588994,213235,56,3842
sahil,39834,224222,12,202
